Date,Open,High,Low,Close,Volume
05/18/2016,"6,209","6,230","6,125","6,193","1,988"
05/19/2016,"6,162","6,186","5,852","6,092","2,191"
05/20/2016,"6,092","6,168","5,900","5,975","2,250"
05/23/2016,"6,025","6,041","5,933","5,954","1,181"
05/24/2016,"5,985","6,076","5,801","6,012","2,639"
05/25/2016,"6,034","6,160","6,030","6,128","2,505"
05/26/2016,"6,116","6,160","5,960","6,115","3,254"
05/27/2016,"6,165","6,240","6,131","6,170","3,045"
05/30/2016,"6,184","6,343","6,184","6,286","3,469"
05/31/2016,"6,255","6,346","6,026","6,099","2,588"
06-01-2016,"6,125","6,422","6,125","6,353","6,533"
06-02-2016,"6,336","6,399","6,280","6,314","2,183"
06-03-2016,"6,329","6,371","6,250","6,279","1,774"
06-06-2016,"6,295","6,700","6,200","6,459","4,092"
06-07-2016,"6,540","6,690","6,391","6,450","7,354"
06-08-2016,"6,450","6,535","6,396","6,475","2,148"
06-09-2016,"6,450","6,535","6,390","6,444","1,942"
06-10-2016,"6,431","6,600","6,430","6,532","2,338"
06/13/2016,"6,500","6,565","6,465","6,529","2,984"
06/14/2016,"6,538","6,599","6,511","6,585","2,028"
06/15/2016,"6,551","6,585","6,460","6,483","3,774"
06/16/2016,"6,513","6,552","6,467","6,495","2,005"
06/17/2016,"6,524","6,550","6,440","6,462",798
06/20/2016,"6,462","6,594","6,429","6,518","2,934"
06/21/2016,"6,548","6,590","6,490","6,522","2,535"
06/22/2016,"6,535","6,555","6,460","6,490","1,400"
06/23/2016,"6,515","6,525","6,403","6,429","1,101"
06/24/2016,"6,366","6,514","6,226","6,478","7,420"
06/27/2016,"6,447","6,532","6,425","6,445","1,068"
06/28/2016,"6,495","6,498","6,433","6,457",689
06/29/2016,"6,450","6,493","6,436","6,444","1,423"
06/30/2016,"6,444","6,541","6,444","6,489","1,956"
07-01-2016,"6,527","6,534","6,470","6,507","1,879"
07-04-2016,"6,500","6,551","6,491","6,521",997
07-05-2016,"6,488","6,549","6,488","6,532",385
07-07-2016,"6,515","6,570","6,498","6,509",746
07-08-2016,"6,509","6,509","6,400","6,420","2,891"
07-11-2016,"6,432","6,499","6,414","6,483","8,225"
07-12-2016,"6,504","6,504","6,420","6,423",872
07/13/2016,"6,475","6,595","6,475","6,582","16,666"
07/14/2016,"6,575","6,599","6,536","6,551","7,835"
07/15/2016,"6,560","6,655","6,560","6,629","2,565"
07/18/2016,"6,611","6,660","6,583","6,597","1,420"
07/19/2016,"6,595","6,660","6,588","6,635",918
07/20/2016,"6,634","6,675","6,634","6,660","2,326"
07/21/2016,"6,666","6,875","6,582","6,834","4,123"
07/22/2016,"6,838","7,124","6,830","7,068","7,043"
07/25/2016,"7,070","7,155","7,000","7,106","2,203"
07/26/2016,"7,110","7,205","7,067","7,141","1,853"
07/27/2016,"7,150","7,150","7,030","7,053","1,483"
07/28/2016,"7,070","7,285","7,070","7,223","3,365"
07/29/2016,"7,226","7,390","7,025","7,166","6,877"
08-01-2016,"7,166","7,230","6,877","6,947","5,858"
08-02-2016,"6,994","7,099","6,803","6,832","2,670"
08-03-2016,"6,835","6,969","6,758","6,808","2,719"
08-04-2016,"6,809","6,900","6,747","6,787","2,029"
08-05-2016,"6,899","6,899","6,811","6,819","1,123"
08-08-2016,"6,855","6,895","6,750","6,852","1,712"
08-09-2016,"6,883","6,899","6,802","6,870","2,378"
08-10-2016,"6,895","6,920","6,766","6,811","1,850"
08-11-2016,"6,857","6,870","6,782","6,828",590
08-12-2016,"6,829","6,958","6,819","6,865","3,208"
08/16/2016,"6,865","6,866","6,725","6,772","1,305"
08/17/2016,"6,785","6,806","6,681","6,711","1,554"
08/18/2016,"6,756","6,770","6,680","6,700","1,494"
